"img","desc","source","weight"
"https://www.noaa.gov/sites/default/files/styles/max_1300x1300/https/s3.amazonaws.com/s3-east-testmedia-noaa.woc.noaa.gov/dam/Photos/legacy/pl23_fish6890.jpg?itok=ThOAf3Eo","
Stern of Grampus, Capt. Adams steering. (Image credit: Gulf of Maine Cod Project, NOAA National Marine Sanctuaries; Courtesy of National Archives | Archival Photographer Stefan Claesson)
","NOAA Photo Library",0.5
"https://www.noaa.gov/sites/default/files/styles/max_1300x1300/https/s3.amazonaws.com/s3-east-testmedia-noaa.woc.noaa.gov/dam/Photos/legacy/pl23_fish7209.jpg?itok=SD6MM6hv","
USFC Blue Wing, Woods Hole, MA, 1902. (Image credit: Gulf of Maine Cod Project, NOAA National Marine Sanctuaries; Courtesy of National Archives | Archival Photographer Stefan Claesson)
","NOAA Photo Library",0.5
"https://www.noaa.gov/sites/default/files/styles/max_1300x1300/https/s3.amazonaws.com/s3-east-testmedia-noaa.woc.noaa.gov/dam/Photos/legacy/pl23_fish7173.jpg?itok=EuGIUOqw","
Loading lobster on Gannet, Gannet alongside lobster pound,gateway to lobster pound. (Image credit: Gulf of Maine Cod Project, NOAA National Marine Sanctuaries; Courtesy of National Archives | Archival Photographer Stefan Claesson)
","NOAA Photo Library",0.5
"https://www.noaa.gov/sites/default/files/styles/max_1300x1300/https/s3.amazonaws.com/s3-east-testmedia-noaa.woc.noaa.gov/dam/Photos/legacy/pl23_fish7176.jpg?itok=DnALG-K7","
Lobster pound, loading lobsters on Gannet. (Image credit: Gulf of Maine Cod Project, NOAA National Marine Sanctuaries; Courtesy of National Archives | Archival Photographer Stefan Claesson)
","NOAA Photo Library",0.5
"https://www.noaa.gov/sites/default/files/styles/max_1300x1300/https/s3.amazonaws.com/s3-east-testmedia-noaa.woc.noaa.gov/dam/Photos/legacy/pl23_fish7178.jpg?itok=vtmML-CO","
Gannet, state boat Sheldrake, Gannet with stripped lobsters. (Image credit: Gulf of Maine Cod Project, NOAA National Marine Sanctuaries; Courtesy of National Archives | Archival Photographer Stefan Claesson)
","NOAA Photo Library",0.5
"https://www.noaa.gov/sites/default/files/styles/max_1300x1300/https/s3.amazonaws.com/s3-east-testmedia-noaa.woc.noaa.gov/dam/Photos/legacy/pl23_fish7183.jpg?itok=8pxbMo7u","
USFC steamer Gannet. (Image credit: Gulf of Maine Cod Project, NOAA National Marine Sanctuaries; Courtesy of National Archives | Archival Photographer Stefan Claesson)
","NOAA Photo Library",0.5
"https://www.noaa.gov/sites/default/files/styles/max_1300x1300/https/s3.amazonaws.com/s3-east-testmedia-noaa.woc.noaa.gov/dam/Photos/legacy/pl23_fish7195.jpg?itok=ciEk6gzy","
Grampus off Gloucester. (Image credit: Gulf of Maine Cod Project, NOAA National Marine Sanctuaries; Courtesy of National Archives | Archival Photographer Stefan Claesson)
","NOAA Photo Library",0.5
"https://www.noaa.gov/sites/default/files/styles/max_1300x1300/https/s3.amazonaws.com/s3-east-testmedia-noaa.woc.noaa.gov/dam/Photos/legacy/pl23_fish7196.jpg?itok=xmx7EqiI","
USFC Petrel, launch, Edenton, May 1902. (Image credit: Gulf of Maine Cod Project, NOAA National Marine Sanctuaries; Courtesy of National Archives | Archival Photographer Stefan Claesson)
","NOAA Photo Library",0.5
"https://www.noaa.gov/sites/default/files/styles/max_1300x1300/https/s3.amazonaws.com/s3-east-testmedia-noaa.woc.noaa.gov/dam/Photos/legacy/pl23_fish7197.jpg?itok=kyhcvbvX","
Grampus off Gloucester. (Image credit: Gulf of Maine Cod Project, NOAA National Marine Sanctuaries; Courtesy of National Archives | Archival Photographer Stefan Claesson)
","NOAA Photo Library",0.5
"https://www.noaa.gov/sites/default/files/styles/max_1300x1300/https/s3.amazonaws.com/s3-east-testmedia-noaa.woc.noaa.gov/dam/Photos/legacy/pl23_fish7198.jpg?itok=XEuxalf9","
Grampus off Gloucester. (Image credit: Gulf of Maine Cod Project, NOAA National Marine Sanctuaries; Courtesy of National Archives | Archival Photographer Stefan Claesson)
","NOAA Photo Library",0.5
"https://www.noaa.gov/sites/default/files/styles/max_1300x1300/https/s3.amazonaws.com/s3-east-testmedia-noaa.woc.noaa.gov/dam/Photos/legacy/pl23_fish7199.jpg?itok=mcMGpk4c","
Grampus off Gloucester. (Image credit: Gulf of Maine Cod Project, NOAA National Marine Sanctuaries; Courtesy of National Archives | Archival Photographer Stefan Claesson)
","NOAA Photo Library",0.5
"https://www.noaa.gov/sites/default/files/styles/max_1300x1300/https/s3.amazonaws.com/s3-east-testmedia-noaa.woc.noaa.gov/dam/Photos/legacy/pl23_fish7200.jpg?itok=d8rYSof2","
USFC Grampus, 1902. (Image credit: Gulf of Maine Cod Project, NOAA National Marine Sanctuaries; Courtesy of National Archives | Archival Photographer Stefan Claesson)
","NOAA Photo Library",0.5
